"full_name","q","i","pha","H","moid","ad","first_obs","condition_code"
"  5660 (1974 MA)",0.425,38.14,N,15.38,0.163,3.15,1974-06-26,0
"  5693 (1993 EA)",0.527,5.06,Y,16.79,0.00577,2.01,1984-01-10,0
"  5731 Zeus (1988 VP4)",0.788,11.20,N,15.47,0.0641,3.74,1988-09-13,0
"  5751 Zao (1992 AC)",1.207,16.07,N,14.95,0.241,3.00,1989-03-10,0
"  5786 Talos (1991 RC)",0.187,23.22,N,17.17,0.189,1.98,1991-09-03,0
"  5797 Bivoj (1980 AA)",1.052,4.19,N,18.88,0.0712,2.74,1980-01-16,0
"  5828 (1991 AM)",0.518,30.12,N,15.97,0.398,2.88,1991-01-14,0
"  5836 (1993 MF)",1.131,7.94,N,15.00,0.185,3.75,1981-04-26,0
"  5863 Tara (1983 RB)",1.097,19.49,N,15.84,0.234,3.35,1983-09-07,0
"  5869 Tanith (1988 VN4)",1.230,17.93,N,17.22,0.311,2.39,1977-02-16,0
"  5879 Almeria (1992 CH1)",1.155,21.57,N,17.62,0.169,2.09,1992-02-08,0
"  6037 (1988 EG)",0.636,3.51,Y,18.86,0.0241,1.91,1988-03-12,0
"  6047 (1991 TB1)",0.942,23.47,N,17.84,0.142,1.97,1985-03-20,0
"  6050 Miwablock (1992 AE)",1.239,6.41,N,14.99,0.268,3.17,1953-02-15,0
"  6053 (1993 BW3)",1.012,21.58,N,15.10,0.222,3.28,1976-06-04,0
"  6063 Jason (1984 KB)",0.528,4.96,N,16.02,0.0763,3.91,1960-10-22,0
"  6178 (1986 DA)",1.169,4.31,N,15.72,0.182,4.46,1977-07-17,0
"  6239 Minos (1989 QF)",0.676,3.94,Y,18.61,0.0263,1.63,1983-01-14,0
"  6455 (1992 HE)",0.957,37.34,N,14.10,0.29,3.52,1989-09-29,0
"  6456 Golombek (1992 OM)",1.296,8.22,N,16.06,0.283,3.09,1979-08-22,0
"  6489 Golevka (1991 JX)",0.956,2.27,Y,19.22,0.024,4.01,1991-04-15,0
"  6491 (1991 OA)",1.023,6.00,Y,18.72,0.0417,3.99,1991-03-18,0
"  6569 Ondaatje (1993 MO)",1.267,22.64,N,16.63,0.256,1.99,1983-12-29,0
"  6611 (1993 VW)",0.874,8.70,N,16.90,0.0611,2.52,1982-11-15,0
"  7025 (1993 QA)",1.011,12.61,N,18.08,0.064,1.94,1993-08-16,0
"  7088 Ishtar (1992 AA)",1.208,8.30,N,16.84,0.226,2.75,1981-03-03,0
"  7092 Cadmus (1992 LC)",0.780,17.79,N,15.12,0.102,4.31,1980-06-02,0
"  7236 (1987 PA)",1.200,16.37,N,18.32,0.202,4.25,1987-08-01,0
"  7335 (1989 JA)",0.913,15.17,Y,17.70,0.0231,2.63,1989-04-06,0
"  7336 Saunders (1989 RS1)",1.196,7.20,N,18.82,0.191,3.42,1982-10-20,0
"  7341 (1991 VK)",0.909,5.41,Y,16.96,0.0471,2.77,1991-09-12,0
"  7350 (1993 VA)",0.826,7.26,N,17.16,0.0799,1.89,1963-10-15,0
"  7358 Oze (1995 YA3)",1.095,4.66,N,14.72,0.124,3.30,1959-12-02,0
"  7474 (1992 TC)",1.108,7.09,N,18.11,0.167,2.02,1990-08-19,0
"  7480 Norwan (1994 PC)",1.071,9.45,N,17.24,0.161,2.06,1982-05-01,0
