"full_name","q","i","pha","H","moid","ad","first_obs","condition_code"
"       (2016 CN29)",0.708,5.62,N,24.30,0.0173,3.68,2016-02-04,8
"       (2016 CO29)",0.802,2.86,N,25.00,0.0222,1.32,2016-01-15,6
"       (2016 CQ29)",0.997,17.21,N,25.00,0.0472,2.47,2016-02-04,7
"       (2016 CR29)",1.184,31.91,N,21.80,0.223,3.81,2016-02-03,6
"       (2016 CS29)",0.878,13.96,Y,19.05,0.0245,3.07,2016-02-03,0
"       (2016 CT29)",0.894,9.02,N,24.70,0.0241,2.95,2016-01-29,8
"       (2016 CU29)",0.982,7.34,N,26.70,0.0165,3.03,2016-02-05,7
"       (2016 CA30)",0.886,3.44,N,27.50,0.0175,1.48,2016-02-03,7
"       (2016 CB30)",1.087,2.92,N,23.50,0.0933,3.01,2016-02-04,5
"       (2016 CC30)",1.035,35.36,N,20.04,0.0502,3.90,2016-02-04,1
"       (2016 CD30)",0.891,5.86,N,27.80,0.00221,2.65,2016-02-05,8
"       (2016 CE30)",1.240,8.72,N,21.73,0.26,1.48,2016-02-03,0
"       (2016 CH30)",0.766,0.48,N,28.00,0.00392,1.10,2016-01-17,5
"       (2016 CJ30)",1.048,0.44,N,24.00,0.0592,3.36,2016-02-01,5
"       (2016 CS30)",1.003,23.40,N,22.90,0.187,1.68,2016-02-03,6
"       (2016 CT30)",1.271,29.03,N,19.48,0.288,2.26,2016-02-04,0
"       (2016 CU30)",1.096,27.89,N,21.58,0.205,4.99,2016-02-05,5
"       (2016 CV30)",1.195,34.57,N,20.96,0.212,3.47,2016-02-05,7
"       (2016 CW30)",0.802,1.00,N,26.70,0.0119,2.14,2016-02-05,7
"       (2016 CX30)",1.068,2.84,N,24.60,0.0885,3.06,2016-02-05,6
"       (2016 CY30)",0.865,5.35,N,24.60,0.00955,3.47,2016-02-05,8
"       (2016 CZ30)",0.850,20.65,N,25.70,0.0176,1.30,2016-02-06,7
"       (2016 CB31)",0.955,1.23,N,24.96,0.0166,2.58,2016-02-03,0
"       (2016 CD31)",0.570,0.46,N,26.90,0.00652,1.52,2016-02-05,7
"       (2016 CE31)",0.777,2.73,N,27.60,0.00171,1.30,2016-02-06,6
"       (2016 CF31)",0.566,15.16,N,21.73,0.161,1.60,2015-02-18,1
"       (2016 CJ31)",0.830,4.62,N,27.60,0.00501,3.09,2016-02-01,8
"       (2016 CK31)",0.937,6.86,N,27.10,0.0051,1.70,2016-02-07,6
"       (2016 CN31)",0.784,0.48,N,27.20,0.00352,2.97,2016-01-31,7
"       (2016 CW31)",1.081,17.83,N,21.50,0.178,2.05,2016-01-20,0
"       (2016 CX31)",1.279,34.71,N,22.60,0.326,1.95,2016-02-05,7
"       (2016 CY31)",1.104,4.84,N,24.20,0.112,2.83,2016-02-05,5
"       (2016 CZ31)",0.736,14.58,N,22.07,0.0176,2.14,2016-02-05,2
"       (2016 CA32)",0.636,19.75,N,19.77,0.216,4.37,2016-02-05,1
"       (2016 CB32)",1.179,2.63,N,18.70,0.197,4.71,2011-03-12,0
"       (2016 CC32)",1.239,9.85,N,20.80,0.269,3.71,2016-02-06,0
"       (2016 CD32)",1.267,18.61,N,23.20,0.286,2.62,2016-01-16,6
"       (2016 CE32)",0.759,5.14,N,23.90,0.055,1.61,2016-02-06,8
"       (2016 CF32)",1.106,4.86,N,23.70,0.151,1.87,2016-02-06,7
"       (2016 CH32)",1.143,23.00,N,23.90,0.156,1.64,2016-02-06,8
"       (2016 CJ32)",1.071,16.11,N,23.70,0.133,1.86,2016-02-07,7
"       (2016 CY135)",0.954,1.10,N,24.50,0.00149,2.00,2016-01-31,4
"       (2016 CZ135)",0.731,8.21,N,20.60,0.0927,1.77,2016-02-05,0
"       (2016 CB136)",1.126,21.50,N,18.70,0.164,3.35,2008-12-30,2
"       (2016 CC136)",0.825,12.06,N,28.80,0.00616,0.99,2016-02-08,5
"       (2016 CD136)",0.913,0.82,N,26.00,0.00929,4.03,2016-01-31,8
"       (2016 CJ136)",0.662,28.90,N,21.60,0.335,1.47,2016-01-29,3
"       (2016 CK136)",1.234,7.69,N,23.26,0.261,2.27,2016-01-31,7
"       (2016 CL136)",0.276,21.53,Y,21.36,0.0288,1.18,2016-02-06,0
"       (2016 CB137)",1.190,18.23,N,22.71,0.306,1.95,2016-02-05,6
"       (2016 CC137)",1.087,43.22,N,24.50,0.101,1.86,2016-02-08,9
"       (2016 CD137)",0.830,4.55,N,26.10,0.00246,1.34,2016-02-08,6
"       (2016 CE137)",1.088,28.55,N,21.67,0.251,2.36,2016-02-08,1
"       (2016 CF137)",0.981,2.44,N,25.77,0.0224,1.20,2015-08-18,0
"       (2016 CG137)",0.901,21.52,N,24.13,0.0411,1.53,2016-02-09,7
"       (2016 CH137)",0.444,8.10,N,25.80,0.00597,4.28,2016-02-09,7
"       (2016 CJ137)",1.018,8.52,N,25.10,0.0728,3.03,2016-02-06,8
"       (2016 CK137)",0.767,0.79,N,27.30,0.000736,1.58,2016-02-05,7
"       (2016 CL137)",0.555,0.76,N,25.80,0.00353,3.28,2016-02-09,8
"       (2016 CM137)",0.923,3.20,N,25.80,0.000204,3.21,2016-02-09,7
"       (2016 CV137)",0.985,6.16,N,27.20,0.0281,2.75,2016-02-06,8
"       (2016 CW137)",0.833,37.68,Y,19.50,0.0438,3.98,2016-02-06,1
"       (2016 CX137)",0.578,16.81,N,19.70,0.278,3.90,2016-02-08,4
"       (2016 CY137)",1.026,29.10,N,26.50,0.0495,1.44,2016-02-09,7
"       (2016 CZ137)",0.687,11.42,N,24.90,0.00644,2.00,2016-02-09,7
"       (2016 CA138)",0.949,27.73,N,23.29,0.0519,1.05,2016-02-09,0
"       (2016 CB138)",1.023,2.96,N,23.63,0.0369,2.80,2016-01-28,6
"       (2016 CY192)",1.050,2.24,N,24.00,0.0665,2.02,2016-02-09,6
"       (2016 CZ192)",0.646,16.74,N,24.60,0.0713,1.11,2016-02-10,6
"       (2016 CA193)",1.085,7.80,N,24.87,0.106,1.17,2016-01-30,0
"       (2016 CC193)",1.073,25.08,N,21.70,0.182,3.71,2016-02-09,6
"       (2016 CU193)",0.948,49.89,Y,20.04,0.0113,2.00,2016-02-09,2
"       (2016 CV193)",0.994,9.39,N,22.57,0.132,1.76,2016-02-10,0
"       (2016 CW193)",0.815,6.51,Y,21.70,0.00479,4.14,2016-01-22,0
"       (2016 CY193)",1.060,4.16,N,24.60,0.0759,2.83,2016-02-10,5
"       (2016 CZ193)",0.809,4.40,N,23.47,0.0179,2.40,2016-02-10,7
"       (2016 CA194)",1.014,5.06,N,27.20,0.03,2.47,2016-02-10,8
"       (2016 CC194)",1.139,8.87,N,23.30,0.157,1.95,2016-01-04,1
"       (2016 CD194)",1.061,24.06,N,23.80,0.107,2.43,2016-02-03,7
"       (2016 CE194)",0.944,1.85,N,26.10,0.00372,2.96,2016-02-11,7
"       (2016 CF194)",1.026,1.64,N,24.18,0.0349,1.55,2016-01-30,4
"       (2016 CG194)",1.110,3.41,N,24.10,0.141,2.33,2016-02-10,9
"       (2016 CM194)",0.856,7.29,N,27.70,0.00111,2.29,2016-02-12,6
"       (2016 CN194)",0.982,10.75,N,27.00,0.0164,2.13,2016-02-12,7
"       (2016 CJ195)",1.052,25.52,Y,19.24,0.0471,2.15,2002-03-13,1
"       (2016 CK195)",0.928,5.23,N,23.29,0.046,1.74,2016-02-10,6
"       (2016 CL195)",0.706,0.94,N,23.83,0.000566,3.07,2016-02-10,7
"       (2016 CM195)",0.917,19.54,N,23.53,0.0395,1.49,2016-02-09,7
"       (2016 CN195)",1.101,1.75,N,25.60,0.119,2.65,2016-02-10,7
"       (2016 CO195)",1.064,5.51,N,26.30,0.0748,1.70,2016-02-11,7
"       (2016 CP195)",0.943,24.57,N,26.50,0.0292,1.40,2016-02-12,8
"       (2016 CQ195)",0.636,28.41,N,18.20,0.271,3.69,2016-02-10,0
"       (2016 CS195)",1.287,20.45,N,21.70,0.419,1.84,2016-02-10,6
"       (2016 CK246)",1.074,12.64,N,21.75,0.138,6.87,2016-02-10,0
"       (2016 CL246)",0.795,48.78,N,19.63,0.216,2.08,2016-01-07,2
"       (2016 CM246)",0.437,6.20,N,20.55,0.0523,3.45,2016-02-09,2
"       (2016 CN246)",1.265,25.56,N,21.10,0.406,1.76,2016-02-11,2
"       (2016 CO246)",0.869,6.29,N,25.80,0.0388,1.12,2016-02-12,0
"       (2016 CP246)",1.026,9.85,N,26.10,0.0447,1.61,2016-02-05,7
"       (2016 CQ246)",0.687,4.69,N,25.30,0.0205,2.85,2016-02-12,7
"       (2016 CS246)",1.140,29.99,N,20.00,0.181,3.28,2016-02-12,6
"       (2016 CT246)",0.983,36.99,N,22.95,0.0763,1.42,2016-02-12,8
"       (2016 CU246)",0.390,2.06,N,26.50,0.00516,1.32,2016-02-13,6
"       (2016 CV246)",0.893,7.11,N,25.55,0.00628,1.21,2016-02-13,4
"       (2016 CW246)",1.033,0.75,N,25.82,0.0503,2.77,2016-02-13,7
"       (2016 CX246)",1.048,1.45,N,25.50,0.0612,3.78,2016-02-13,7
"       (2016 CN247)",1.219,8.15,N,22.44,0.276,2.30,2016-02-12,1
"       (2016 CO247)",0.691,18.36,Y,20.60,0.0171,2.15,2010-07-24,0
"       (2016 CP247)",1.157,5.74,N,23.60,0.172,2.98,2016-02-12,0
"       (2016 CQ247)",0.517,8.92,N,21.87,0.142,2.05,2016-02-12,7
"       (2016 CR247)",1.006,14.17,Y,21.82,0.0425,1.21,2016-02-11,0
"       (2016 CS247)",0.988,1.69,N,25.66,0.0125,1.74,2016-02-14,5
"       (2016 CW247)",0.734,10.58,N,22.49,0.0118,2.69,2016-01-29,7
"       (2016 CX247)",0.564,17.51,N,22.60,0.249,1.35,2016-02-10,2
"       (2016 CY247)",1.130,11.96,N,23.90,0.167,3.01,2016-02-12,0
"       (2016 CZ247)",0.646,8.05,N,26.91,0.0108,1.42,2016-02-15,7
"       (2016 CA248)",0.944,2.67,N,27.70,0.0098,2.66,2016-02-15,8
"       (2016 CB248)",0.715,7.76,N,26.60,0.00341,1.54,2016-02-15,7
"       (2016 CD248)",0.797,13.46,N,22.20,0.0325,2.93,2016-02-13,8
"       (2016 CE248)",0.957,33.93,N,23.31,0.0844,2.54,2016-02-10,8
"       (2016 CJ248)",1.193,13.60,N,19.40,0.213,4.07,2016-02-14,1
"       (2016 CK248)",0.858,2.44,N,26.80,0.0127,1.90,2016-02-15,7
"       (2016 CL248)",1.293,1.03,N,23.20,0.307,3.64,2016-02-15,9
"       (2016 CM248)",0.923,17.60,N,23.20,0.0854,2.01,2016-02-15,6
"       (2016 CN248)",0.586,3.01,N,27.30,0.00505,1.43,2016-02-09,6
"       (2016 CO248)",0.783,4.77,N,27.50,0.000737,1.08,2016-02-11,6
"       (2016 CL264)",0.700,34.12,Y,19.29,0.00998,2.59,2014-01-20,1
"       (2016 CW264)",0.475,5.74,N,29.80,0.0014,3.57,2016-02-11,8
"       (2016 CX264)",1.047,13.04,N,19.68,0.173,1.95,2016-02-11,0
"       (2016 DB)",0.602,2.89,N,28.50,0.000528,1.18,2016-02-16,5
"       (2016 DF)",1.020,4.58,N,27.10,0.0342,1.16,2016-02-16,6
"       (2016 DG)",0.980,9.68,N,27.70,0.0168,2.14,2016-02-16,7
"       (2016 DH)",1.012,8.20,N,27.50,0.026,1.06,2016-02-11,6
"       (2016 DJ)",0.859,4.35,N,25.66,0.0273,1.19,2016-02-14,4
"       (2016 DK)",1.040,32.81,N,22.40,0.0528,3.92,2016-02-16,9
"       (2016 DL)",0.378,23.85,Y,21.34,0.0467,1.05,2010-01-16,1
"       (2016 DZ)",1.069,13.10,N,22.20,0.129,3.42,2016-02-09,5
"       (2016 DB1)",0.965,12.92,N,26.50,0.0152,1.42,2016-02-26,6
"       (2016 DE1)",0.575,0.41,N,25.30,0.00606,2.75,2016-02-26,7
"       (2016 DF1)",0.511,1.58,N,24.36,0.00393,2.53,2016-02-21,8
"       (2016 DK1)",0.912,0.76,N,27.50,0.00034,1.81,2016-02-27,7
"       (2016 DL1)",0.977,1.49,N,26.80,0.0036,3.48,2016-02-27,6
"       (2016 DM1)",0.777,8.12,N,26.20,0.0138,2.56,2016-02-26,7
"       (2016 DT1)",0.846,30.53,N,21.70,0.136,2.54,2016-02-26,9
"       (2016 DU1)",1.010,1.63,N,26.30,0.0212,3.10,2016-02-27,8
"       (2016 DV1)",0.680,3.36,N,24.77,0.00142,2.98,2016-02-28,0
"       (2016 DW1)",0.914,13.57,N,25.90,0.0367,1.37,2016-02-28,7
"       (2016 DK2)",0.689,0.88,N,28.90,0.000616,4.12,2016-02-27,8
"       (2016 DL2)",1.035,12.22,N,25.10,0.0603,1.64,2016-02-28,7
"       (2016 DM2)",1.055,1.64,N,25.50,0.0699,2.86,2016-02-28,7
"       (2016 DN2)",0.953,4.28,N,26.90,0.00524,2.87,2016-02-28,7
"       (2016 DO2)",0.753,1.41,N,23.70,0.00222,2.37,2016-02-19,8
"       (2016 DP2)",0.610,5.78,N,25.90,0.0228,1.11,2016-02-28,7
"       (2016 DQ2)",0.660,11.73,N,22.59,0.12,1.93,2016-02-28,8
"       (2016 DR2)",1.082,5.03,N,25.60,0.101,1.43,2016-02-28,8
"       (2016 DU21)",1.022,35.29,N,21.50,0.301,2.33,2016-02-28,4
"       (2016 DV21)",1.102,14.40,N,22.14,0.211,2.76,2016-02-28,0
"       (2016 DW21)",1.067,15.54,N,21.30,0.26,4.22,2016-02-28,5
"       (2016 DX21)",1.046,25.63,N,24.30,0.0725,1.43,2016-02-29,8
"       (2016 DY21)",0.745,6.49,N,25.80,1.89e-05,1.83,2016-02-29,7
"       (2016 DZ21)",1.072,5.35,N,25.40,0.0888,1.53,2016-02-29,7
"       (2016 DX30)",0.680,4.18,N,26.50,0.0119,1.41,2016-02-12,7
"       (2016 DY30)",0.547,0.77,N,30.50,0.000199,1.69,2016-02-26,7
"       (2016 DA31)",0.699,0.02,N,29.90,4.35e-06,1.84,2016-02-28,8
"       (2016 ED)",0.925,28.99,N,23.70,0.0422,1.60,2016-03-01,7
"       (2016 EE)",0.893,2.17,N,25.50,0.0207,2.51,2016-03-01,8
"       (2016 EA1)",1.056,9.45,N,24.10,0.0706,2.32,2016-03-01,7
"       (2016 EB1)",0.745,11.10,N,25.30,0.0142,1.95,2016-03-01,7
"       (2016 EC1)",1.054,18.98,N,23.00,0.0691,3.18,2016-03-01,8
"       (2016 ED1)",0.993,10.67,N,25.80,0.00643,3.19,2016-03-01,7
"       (2016 EE1)",0.810,7.50,N,24.50,0.0165,3.68,2016-02-29,8
"       (2016 EF1)",0.939,14.85,N,24.30,0.116,1.76,2016-02-28,8
"       (2016 EG1)",0.807,14.72,N,29.10,0.00283,1.55,2016-03-02,7
"       (2016 EH1)",0.670,13.98,N,22.66,0.00754,1.09,2016-02-24,1
"       (2016 EK1)",0.717,6.53,N,29.10,0.0043,3.62,2016-03-02,6
"       (2016 EL1)",0.612,4.01,N,27.80,0.000446,2.97,2016-03-03,7
"       (2016 EN1)",1.283,14.58,N,21.41,0.32,1.59,2016-03-01,0
"       (2016 EO1)",1.155,1.66,N,23.60,0.165,4.16,2016-02-05,6
"       (2016 EP1)",0.812,10.64,N,22.26,0.0661,2.11,2016-03-02,6
"       (2016 EQ1)",0.998,0.40,N,26.30,0.00539,2.03,2016-03-02,7
"       (2016 ER1)",0.673,4.02,N,23.50,0.0529,3.60,2016-03-02,9
"       (2016 ES1)",1.063,11.49,N,24.20,0.0926,2.89,2016-03-03,7
"       (2016 ET1)",0.902,6.39,N,28.90,0.00804,1.26,2016-03-03,6
"       (2016 EV1)",0.701,5.14,N,23.90,0.0107,4.21,2016-02-23,7
"       (2016 EW1)",0.760,18.90,N,25.20,0.0265,1.32,2016-03-03,7
"       (2016 EZ26)",0.986,6.82,N,22.60,0.00314,3.89,2016-02-14,5
"       (2016 EA27)",1.064,32.27,N,20.70,0.301,2.82,2016-03-02,0
"       (2016 EB27)",0.410,34.65,N,22.90,0.0522,1.35,2016-03-03,8
"       (2016 EC27)",1.178,2.33,N,22.45,0.185,2.73,2016-01-28,5
"       (2016 ED27)",0.845,14.43,N,23.90,0.113,2.71,2016-03-03,9
"       (2016 EE27)",0.560,4.02,N,23.90,0.0205,4.95,2016-03-03,9
"       (2016 EF27)",1.126,8.53,N,23.30,0.18,2.53,2016-03-03,5
"       (2016 EJ27)",0.450,3.50,N,25.30,0.0189,1.05,2016-03-03,7
"       (2016 EK27)",0.961,7.10,N,22.20,0.00237,2.68,2016-03-03,1
"       (2016 EL27)",0.676,15.57,N,26.10,0.0295,1.08,2016-03-03,6
"       (2016 EM27)",1.089,25.90,N,23.40,0.131,1.28,2016-03-03,5
"       (2016 EV27)",0.944,8.88,N,23.40,0.0305,4.43,2016-03-01,6
"       (2016 EW27)",1.189,31.68,N,22.20,0.362,2.39,2016-03-02,8
"       (2016 EX27)",0.550,11.67,N,20.02,0.152,3.75,2016-02-09,1
"       (2016 EY27)",0.790,23.69,N,20.50,0.22,1.72,2016-02-14,1
"       (2016 EZ27)",0.678,23.48,N,19.50,0.329,2.15,2016-02-14,0
"       (2016 EA28)",1.261,27.05,N,20.48,0.469,2.08,2010-11-01,2
"       (2016 EC28)",0.963,6.36,N,24.90,0.0718,1.44,2016-02-11,4
"       (2016 ED28)",0.990,9.08,N,22.80,0.039,3.86,2016-03-04,7
"       (2016 EE28)",0.964,5.97,N,26.93,0.016,1.24,2016-03-01,6
"       (2016 EF28)",0.642,5.16,Y,21.70,0.0236,3.10,2016-02-27,0
"       (2016 EG28)",0.776,8.11,N,27.90,0.0037,2.84,2016-03-05,7
"       (2016 EM28)",1.264,14.94,N,20.80,0.267,4.01,2016-02-12,4
"       (2016 EO28)",0.894,2.43,N,29.20,0.000382,1.68,2016-03-02,7
"       (2016 ER28)",1.069,6.69,N,25.00,0.0794,1.59,2016-02-12,5
"       (2016 ES28)",0.502,24.95,N,22.50,0.145,2.45,2016-03-03,9
"       (2016 ET28)",1.098,19.73,N,21.80,0.336,4.34,2016-03-03,8
"       (2016 EU28)",0.837,5.71,N,25.96,0.00617,3.01,2016-03-06,8
"       (2016 EV28)",0.448,1.98,N,28.46,0.00114,3.44,2016-03-04,7
"       (2016 EG55)",0.984,27.34,N,23.30,0.124,2.14,2016-03-06,7
"       (2016 EH55)",0.823,1.10,N,24.60,0.00353,2.88,2016-03-06,9
"       (2016 EJ55)",0.872,7.20,N,24.60,0.0213,1.46,2016-03-07,7
"       (2016 EO55)",0.976,10.01,N,25.10,0.0237,1.73,2016-03-07,7
"       (2016 EP55)",0.983,15.54,N,24.70,0.07,2.08,2016-03-07,7
"       (2016 EG56)",1.216,6.35,N,22.79,0.219,3.38,2016-03-04,0
"       (2016 EJ56)",0.758,28.37,Y,21.68,0.0385,2.02,2016-02-12,0
"       (2016 EK56)",0.912,0.89,N,22.90,0.00705,3.12,2016-03-06,5
"       (2016 EL56)",0.292,11.35,Y,21.10,0.0407,3.77,2016-03-06,2
"       (2016 EO56)",0.348,43.24,N,23.00,0.0644,1.63,2016-03-01,9
"       (2016 EP56)",0.453,6.61,N,24.11,0.0215,2.74,2016-03-06,9
"       (2016 EK84)",0.732,14.14,N,21.53,0.178,2.13,2016-03-02,1
"       (2016 EL84)",0.807,15.01,N,19.90,0.0623,2.11,2016-03-03,0
"       (2016 EM84)",1.133,7.19,N,23.50,0.185,4.77,2016-03-03,6
"       (2016 EN84)",1.037,12.19,N,20.15,0.0636,2.81,2016-03-05,0
"       (2016 EO84)",0.376,12.08,N,22.34,0.0396,1.29,2016-03-03,1
"       (2016 EP84)",0.984,0.82,N,27.40,0.00313,1.40,2016-03-07,4
"       (2016 EQ84)",0.670,6.35,N,24.10,0.0236,2.11,2016-03-07,7
"       (2016 ES84)",0.601,16.67,N,20.31,0.122,3.90,2016-03-03,6
"       (2016 EU84)",0.833,3.20,N,29.00,0.0053,1.01,2016-03-10,5
"       (2016 EV84)",0.712,13.58,N,26.70,0.0197,1.02,2016-03-10,6
"       (2016 EB85)",1.137,17.13,N,21.91,0.195,1.67,2011-01-30,0
"       (2016 EC85)",0.933,16.91,N,18.48,0.0551,4.48,2016-01-11,2
"       (2016 ED85)",0.912,8.81,N,17.64,0.0739,5.06,1989-10-08,0
"       (2016 EE85)",0.680,12.39,N,22.80,0.161,1.23,2016-03-06,3
"       (2016 EF85)",1.056,8.33,N,25.00,0.0782,2.04,2016-03-07,6
"       (2016 EG85)",0.894,5.30,N,26.80,0.0102,2.94,2016-03-07,8
"       (2016 EH85)",1.033,6.02,N,27.20,0.0427,2.92,2016-03-10,7
"       (2016 EJ85)",0.921,6.57,N,25.80,0.00887,1.83,2016-03-10,7
"       (2016 EK85)",0.755,1.52,N,25.90,0.00312,4.22,2016-03-09,7
"       (2016 EO85)",1.207,17.05,N,19.10,0.232,4.04,2012-04-24,1
"       (2016 EP85)",1.292,1.68,N,22.06,0.297,2.64,2016-03-06,2
"       (2016 EQ85)",0.840,7.33,N,27.60,0.0166,1.27,2016-03-10,7
"       (2016 ER85)",1.032,7.61,N,27.44,0.0388,3.03,2016-03-10,8
"       (2016 ES85)",0.882,2.24,N,29.70,0.00767,1.06,2016-03-10,5
"       (2016 ET85)",1.026,4.82,N,25.60,0.0419,1.50,2016-03-10,7
"       (2016 EU85)",0.957,2.59,Y,19.46,0.0062,2.74,2016-01-13,1
"       (2016 EW85)",0.679,2.55,N,27.60,0.00335,1.62,2016-03-11,7
"       (2016 EC86)",0.999,21.45,N,21.49,0.185,1.77,2010-09-09,0
"       (2016 ED86)",0.998,6.22,N,25.30,0.0205,1.64,2016-03-05,6
"       (2016 EE86)",1.134,8.77,N,22.20,0.154,2.35,2016-03-07,5
"       (2016 EF86)",0.981,1.25,N,25.20,0.00525,1.96,2016-03-10,6
"       (2016 EG86)",0.730,1.38,N,24.50,0.000306,3.47,2016-03-01,6
"       (2016 EP86)",1.260,4.84,N,20.70,0.266,3.53,2016-03-06,4
"       (2016 ER155)",1.255,26.16,N,22.00,0.262,3.16,2016-03-10,5
"       (2016 ES155)",0.494,8.08,N,24.30,0.0107,2.37,2016-03-12,8
"       (2016 EU155)",0.719,8.14,N,24.01,0.00351,1.48,2016-03-12,7
"       (2016 EB156)",1.070,7.66,N,21.18,0.1,2.48,2009-09-22,0
"       (2016 ED156)",0.496,7.21,N,23.56,0.0178,1.28,2016-03-12,2
"       (2016 EF156)",0.523,22.07,N,24.70,0.0176,1.38,2016-03-08,7
"       (2016 EG156)",1.088,5.77,N,21.60,0.126,3.58,2015-11-06,4
"       (2016 EJ156)",0.962,4.16,N,25.80,0.0144,1.43,2016-03-13,5
"       (2016 EK156)",0.945,12.45,N,24.75,0.0294,1.57,2016-03-12,8
"       (2016 EL156)",0.916,44.16,N,23.20,0.0348,2.81,2016-03-13,9
"       (2016 EM156)",0.957,1.98,N,27.90,0.00216,2.99,2016-03-14,6
"       (2016 EN156)",0.906,3.65,N,27.80,0.00247,1.67,2016-03-13,6
"       (2016 EO156)",0.954,1.52,N,28.90,0.00445,1.61,2016-03-13,7
"       (2016 EC157)",0.597,5.59,N,23.60,0.0413,1.25,2015-01-09,0
"       (2016 ED157)",1.110,4.77,N,24.65,0.118,1.51,2016-03-10,0
"       (2016 EE157)",0.634,21.19,N,20.88,0.246,1.80,2016-03-06,0
"       (2016 EF157)",0.879,3.53,N,25.00,0.0304,2.77,2016-03-12,8
"       (2016 EH157)",0.914,10.04,Y,21.10,0.0484,3.95,2016-02-06,0
"       (2016 EJ157)",0.971,21.38,N,23.80,0.121,1.51,2016-03-13,7
"       (2016 EK157)",1.159,10.76,N,23.20,0.161,2.81,2016-03-10,6
"       (2016 EL157)",0.915,7.17,N,27.10,0.00685,2.97,2016-03-13,7
"       (2016 EM157)",0.589,10.30,N,26.90,0.00596,1.09,2016-03-14,6
"       (2016 EN157)",0.844,4.87,N,28.00,0.000717,3.05,2016-03-11,7
"       (2016 EZ157)",1.011,12.35,Y,18.54,0.0038,4.29,2012-11-01,1
"       (2016 EA158)",0.454,15.54,N,21.01,0.209,3.20,2016-03-12,7
"       (2016 EB158)",1.264,25.06,N,20.53,0.346,3.30,2016-03-13,0
"       (2016 EC158)",0.631,5.38,N,21.70,0.0915,3.84,2016-03-13,5
"       (2016 ED158)",0.797,8.04,N,22.90,0.0624,4.40,2016-03-13,8
"       (2016 EE158)",1.100,3.26,N,24.08,0.101,2.05,2016-03-13,0
"       (2016 EF158)",0.768,22.87,N,25.10,0.051,1.29,2016-03-14,8
"       (2016 EG158)",1.016,1.00,N,27.10,0.0173,2.99,2016-03-14,8
"       (2016 EH158)",1.272,48.80,N,21.42,0.284,1.40,2016-03-14,1
"       (2016 EJ158)",1.022,4.17,N,25.80,0.0296,2.82,2016-03-14,8
"       (2016 EK158)",0.740,23.20,N,20.49,0.255,1.54,2016-03-14,0
"       (2016 EL158)",0.970,35.21,N,20.52,0.262,3.23,2013-09-14,0
"       (2016 EN158)",0.542,8.04,N,21.57,0.118,2.08,2016-03-06,1
"       (2016 EC195)",1.252,18.92,N,21.49,0.351,1.60,2016-03-13,1
"       (2016 ED195)",0.794,36.58,N,18.84,0.053,3.14,2016-03-03,0
"       (2016 EE195)",1.011,6.44,N,26.70,0.0349,1.77,2016-03-15,7
"       (2016 EF195)",1.002,1.16,N,25.50,0.0152,4.01,2016-03-15,7
"       (2016 EX202)",0.697,3.36,N,25.60,0.0283,1.28,2016-03-04,8
"       (2016 EU362)",0.665,16.75,N,23.85,0.0105,1.05,2016-03-14,8
"       (2016 EA374)",1.261,11.39,N,23.88,0.275,1.69,2016-03-13,9
"       (2016 FA)",0.858,9.09,N,25.30,0.0292,1.07,2016-03-16,2
"       (2016 FB)",1.015,19.31,N,23.67,0.0349,1.48,2016-03-16,7
"       (2016 FC)",0.890,0.89,N,26.60,2.14e-05,1.46,2016-03-16,5
"       (2016 FD)",1.296,23.59,N,20.47,0.397,2.34,2016-03-16,9
"       (2016 FC1)",0.743,1.25,N,29.10,0.000596,3.38,2016-03-16,8
"       (2016 FD1)",0.719,4.62,N,23.10,0.0454,2.34,2016-03-16,7
"       (2016 FE1)",1.072,22.26,N,20.48,0.0688,2.41,2016-03-15,1
"       (2016 FF1)",1.084,12.18,N,23.80,0.0885,2.12,2016-03-16,6
"       (2016 FX2)",1.010,6.77,N,23.64,0.0525,1.43,2016-03-17,0
"       (2016 FY2)",0.715,1.87,N,25.50,0.00541,1.02,2016-02-12,5
"       (2016 FZ2)",1.052,10.36,N,24.60,0.0579,3.02,2016-03-17,8
"       (2016 FJ3)",0.757,5.71,N,22.49,0.0725,3.41,2016-03-03,0
"       (2016 FK3)",1.019,3.05,N,27.20,0.0316,2.16,2016-03-17,8
"       (2016 FT3)",0.730,13.70,N,20.00,0.192,2.27,2016-03-16,2
"       (2016 FU3)",1.073,10.49,N,22.60,0.131,2.98,2016-03-17,5
"       (2016 FW3)",0.843,11.42,N,25.50,0.00188,1.27,2016-03-19,2
"       (2016 FY3)",0.818,22.44,Y,21.20,0.00664,4.43,2016-03-19,3
"       (2016 FB4)",0.742,32.95,N,22.00,0.189,1.56,2016-03-07,7
"       (2016 FT6)",0.324,18.47,N,20.00,0.211,3.94,2016-03-25,8
"       (2016 FU6)",0.798,1.75,N,28.90,0.000548,1.78,2016-03-27,7
"       (2016 FV6)",0.663,1.69,N,24.20,0.0199,2.32,2016-03-28,8
"       (2016 FV7)",0.251,10.15,N,23.00,0.00989,3.82,2016-03-10,7
"       (2016 FX7)",0.987,0.32,N,26.80,0.00158,2.52,2016-03-28,7
"       (2016 FB12)",0.980,7.73,N,26.00,0.026,1.68,2016-03-28,8
"       (2016 FC12)",0.900,14.70,N,24.72,0.0849,2.27,2016-03-28,1
